a_id,a_name,a_country,a_city,a_prov,a_web
2,pampanga state agricultural university,philippines,magalang,Pampanga,http://www.pac.edu.ph
4,les roches international school hotel management,switzerland,bluche crans montana,Bluche-Crans-Montana,http://www.lesroches.edu
6,dharma gate budapest buddhist university,hungary,budapest,,http://www.tkbf.eu
7,a. d. patel institute technology,india,vitthal udyognagar,Gujarat,http://www.adit.ac.in
8,a.t. still university,united states,kirksville, Missouri,http://www.atsu.edu
9,aalborg university,denmark,aalborg,,http://www.aau.dk
10,aalto university,finland,espoo,,http://www.aalto.fi/fi/
15,aarhus university,denmark,aarhus,C,http://www.au.dk/en
17,abada college,philippines,pinamalayan,Oriental Mindoro,http://abadacollege.edu.ph
18,abant izzet baysal university,turkey,bolu,,http://www.ibu.edu.tr
19,abasyn university,pakistan,peshawar,Khyber Pakhtunkhwa,http://www.abasyn.edu.pk/
20,abdul wali khan university,pakistan,mardan,Khyber Pakhtunkhwa,http://www.awkum.edu.pk/
22,abe international business college,philippines,manila,Metro Manila,http://www.abe.edu.ph/
23,aberystwyth university,united kingdom,aberystwyth,,http://www.aber.ac.uk
24,abeu university centre,brazil,belford roxo,Rio de Janeiro,http://www.uniabeu.edu.br
25,abia state university,nigeria,uturu,Abia State,http://www.absuu.net/
26,abilene christian university,united states,abilene, Texas,http://www.acu.edu
27,abo akademi university,finland,turku,,http://www.abo.fi
28,abra state institute sciences technology,philippines,lagangilang,Abra,http://www.asist.edu.ph
29,abra valley colleges,philippines,bangued,Abra,
30,abraham baldwin agricultural college,united states,tifton, Georgia,http://www.abac.peachnet.edu
31,abu dhabi university,united arab emirates,abu dhabi,,http://www.adu.ac.ae/
32,abubakar computer learning center foundation,philippines,bongao,Tawi-Tawi,
33,abubakar tafawa balewa university,nigeria,bauchi,Bauchi State,http://www.atbu.edu.ng
34,kazakh abylai khan university international relations world languages,kazakhstan,almaty,,http://www.ablaikhan.kz
35,academy police sciences,mozambique,michafutene,Maputo,http://www.acipol.ac.mz
36,gheorghe dima music academy cluj napoca,romania,cluj napoca,,http://www.amgd.ro
37,academy music atre fine arts,moldova,chisinau,,http://www.amtap.md
38,alexandru ioan cuza police academy bucharest,romania,bucuresti,,http://www.academiadepolitie.ro
39,academy stefan cel mare,moldova,chisinau,,http://www.academy.police.md
40,san lorenzo dema ala academy,philippines,san jose del monte,Bulacan,
41,academy economic studies moldova,moldova,chisinau,,http://www.ase.md
42,bucharest academy economic studies,romania,bucuresti,,http://www.ase.ro
43,transports informatics communications academy,moldova,chisinau,,http://www.aticmd.md
44,francisco martinez cabrera state academy arts,mexico,mazatlan,Sinaloa,
46,mexican academy fiscal research,mexico,mexico,D.F.,
48,mircea cel batran naval academy constanta,romania,constanta,,http://www.anmb.ro
49,michael brave national academy information,romania,bucuresti,,http://www.animv.ro
50,college political social sciences,czech republic,kolin v,,http://www.vspsv.cz
51,academy graduate studies,libya,tripoli,,http://www.alacademia.edu.ly/
53,academy engineering science,sudan,khartoum,,
54,sudan academy communication science,sudan,khartoum,,http://www.sacs.edu.sd/
55,sudan academy banking financial sciences,sudan,khartoum,,http://www.sabfs.edu.sd
60,academy fine arts,congo,kinshasa,,
61,fine arts academy tournai,belgium,tournai,,http://www.actournai.be
62,international academy advanced advanced security studies,senegal,dakar,,http://www.aihes.senevision.net/
63,mohammed vi international academy civil aviation,morocco,casablanca,539-619,http://www.aviation.ma
64,regional academy marine science technology,cote d'ivoire,abidjan,,http://www.arstm.org 
65,academie royale des beaux arts de la ville de bruxelles ecole superieure des arts,belgium,bruxelles,,http://www.arba-esa.be
68,academy five element acupuncture,united states,gainesville, Florida,http://www.acupuncturist.com
71,academy chinese culture health sciences,united states,oakland, California,http://www.acchs.edu
72,academy management,mongolia,ulaanbaatar,,http://www.naog.gov.mn/
73,academy oriental medicine austin,united states,austin, Texas,http://www.aoma.edu
75,academy ministry internal affairs,tajikistan,dusanbe,,
76,acadia university,canada,wolfville, Nova Scotia ,http://www.acadiau.ca
77,brera academy fine art,italy,milano,Lombardia,http://www.accademiadibrera.milano.it/
78,accadis university applied sciences bad homburg,germany,bad homburg,Hesse,http://www.accadis.com
79,access computer technical college,philippines,manila,Metro Manila,http://access.edu.ph
80,accra institute technology,ghana,accra north,,http://www.ait.edu.gh
88,aces tagum college,philippines,tagum city,Davao del Norte,
89,acharya n.g. ranga agricultural university,india,hyderabad,Andhra Pradesh,http://www.angrau.ac.in
90,acharya nagarjuna university,india,nagarjuna nagar,Andhra Pradesh,http://www.nagarjunauniversity.ac.in
91,achievers university,nigeria,owo,Ondo State,http://achievers.edu.ng
93,acibadem university,turkey,maltepe/istanbul,,http://www.acibadem.edu.tr/
94,aclc college butuan city,philippines,butuan city,Agusan del Norte,http://www.aclc.edu.ph/aclc
95,acmcl college,philippines,victoria,Oriental Mindoro,http://acmclcollege.com
96,acsi business computer school,philippines,iloilo city,Iloilo,
97,acts computer college,philippines,sta cruz,Laguna,
98,acupuncture integrative medicine college berkeley,united states,berkeley, California,http://aimc.edu
99,acupuncture massage college,united states,miami, Florida,http://www.amcollege.edu
101,adama science technology university,ethiopia,nazareth,Oromia,http://www.astu.edu.et/
102,adamawa state polytechnic,nigeria,yola,Adamawa State,http://www.adamawastatepoly.edu.ng/
103,adamawa state university mubi,nigeria,mubi,Adamawa State,http://www.adsu.edu.ng
104,adams state university,united states,alamosa, Colorado,http://www.adams.edu
105,adamson university,philippines,city manila,"First District, Metro Manila",http://www.adamson.edu.ph
106,addis ababa university,ethiopia,addis ababa,,http://www.aau.edu.et
107,addis ababa university college commerce,ethiopia,addis ababa,Addis Ababa,http://www.aaucc.edu.et
108,adekunle ajasin university,nigeria,akungba akoko,Ondo State,http://www.aaua.edu.ng
