_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label
29,641,56372,kozminski university warsaw,poland,warszawa,mazowieckie,http://www.kozminski.edu.pl,kozminski university,poland,warsaw,,alk,0
45,829,51231,alfred university,united states,alfred,new york,http://www.alfred.edu,alfred university,united states,alfred,new york,gmail,0
49,838,8588,dublin city university all hallows college,ireland,dublin,,http://www.allhallows.ie,university college dublin,ireland,dublin,,ucd,0
70,943,32940,amsterdam school arts,netherlands,amsterdam,,http://www.ahk.nl,university amsterdam,netherlands,amsterdam,,uva,0
116,1079,4329,arizona state university,united states,tempe,arizona,http://www.asu.edu,arizona state university,united states,tempe,arizona,asu,0
124,1081,33744,arkansas baptist college,united states,little rock,arkansas,http://www.arkansasbaptist.edu,university arkansas,united states,fayetteville,arkansas,uark,0
128,1082,11360,arkansas state university,united states,jonesboro,arkansas,http://www.astate.edu,university arkansas,united states,fayetteville,arkansas,uark,0
154,1246,58566,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management ahmedabad,india,ahmedabad,gujarat,ernet,0
174,1274,47219,auburn university montgomery,united states,montgomery,alabama,http://www.aum.edu,auburn university,united states,auburn,alabama,auburn,0
196,1355,4180,babson college,united states,babson park,massachusetts,http://www.babson.edu,babson college,united states,babson park,massachusetts,babson,0
197,1355,20711,babson college,united states,babson park,massachusetts,http://www.babson.edu,babson college,united states,babson park,massachusetts,babson,0
212,1433,58623,bangalore university,india,bangalore,karnataka,http://www.bangaloreuniversity.ac.in,indian institute management bangalore,india,bangalore,,gmail,0
240,1578,16020,ben gurion university negev,israel,beersheba,,http://www.bgu.ac.il,ben gurion university negev,israel,beersheba,,bgu,0
301,1732,3474,boston university,united states,boston,massachusetts,http://www.bu.edu,boston university,united states,west newton,massachusetts,bu,0
327,1738,57807,bowling green state university,united states,bowling green,ohio,http://www.bgsu.edu,bowling green state university,united states,bowling green,ohio,bgsu,0
368,1895,41388,california college san diego,united states,san diego,california,http://www.cc-sd.edu/,university san diego,united states,san diego,california,hotmail,0
405,1906,5959,california state polytechnic university pomona,united states,pomona,california,http://www.csupomona.edu,california state polytechnic university pomona,united states,pomona,california,csupomona,0
422,1907,2067,california state university bakersfield,united states,bakersfield,california,http://www.csub.edu,california state university bakersfield,united states,bakersfield,california,csub,0
436,1909,38223,california state university chico,united states,chico,california,http://www.csuchico.edu,california state university san francisco,united states,san francisco,california,sfsu,0
454,1911,57138,california state university east bay,united states,hayward,california,http://www20.csueastbay.edu,california polytechnic state university,united states,pomona,california,supomona,0
518,1919,7803,california state university san bernardino,united states,san bernardino,california,http://www.csusb.edu,san diego state university,united states,san diego,california,sdsu,0
542,1921,28190,california state university stanislaus,united states,turlock,california,http://www.csustan.edu,california state university northridge,united states,northridge,california,csun,0
588,2071,48045,central connecticut state university,united states,new britain,connecticut,http://www.ccsu.edu,university connecticut,united states,storrs,connecticut,uconn,0
614,2080,11063,central michigan university,united states,mount pleasant,michigan,http://www.cmich.edu,university michigan,united states,ann arbor,michigan,umich,0
652,2695,1779,cheyney university pennsylvania,united states,cheyney,pennsylvania,http://www.cheyney.edu,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
