_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
0,17266,58431,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,madrid,,spain,uc3m
1,21864,48452,university applied sciences zurcher fachhochschule,zurich,,switzerland,http://www.zfh.ch,university bern,bern,,switzerland,unibe
2,21864,56540,university applied sciences zurcher fachhochschule,zurich,,switzerland,http://www.zfh.ch,university bern,bern,be,switzerland,unibe
3,21864,43590,university applied sciences zurcher fachhochschule,zurich,,switzerland,http://www.zfh.ch,university zurich,zurich,,switzerland,uzh
4,17285,52224,catholic university avila,avila,,spain,http://www.ucavila.es,university granada,granada,provincia,spain,ugr
5,6452,23279,fukuoka university,fukuoka shi,Fukuoka,japan,http://www.fukuoka-u.ac.jp,hitotsubashi university,tokyo,,japan,hit-u
6,11620,43783,international independent university environmental political sciences,moskva,,russian federation,http://www.mnepu.ru,national research university,moscow,,russian federation,dol
7,6463,23279,fukuyama university,fukuyama shi,Hiroshima,japan,http://www.fukuyama-u.ac.jp,hitotsubashi university,tokyo,,japan,hit-u
8,7394,52521,university protestant church music bayreuth,bayreuth,Bavaria,germany,http://www.hfk-bayreuth.de,university mannheim,mannheim,,germany,uni-mannheim
9,7394,57432,university protestant church music bayreuth,bayreuth,Bavaria,germany,http://www.hfk-bayreuth.de,university wuppertal,wuppertal,,germany,uni-wuppertal
10,7394,52203,university protestant church music bayreuth,bayreuth,Bavaria,germany,http://www.hfk-bayreuth.de,university passau,passau,,germany,uni-passau
11,7394,41878,university protestant church music bayreuth,bayreuth,Bavaria,germany,http://www.hfk-bayreuth.de,university bamberg,bamberg,bavaria,germany,uni-bamberg
12,22023,23279,tokyo fuji university,tokyo,Shinjuku-ku,japan,http://www.fuji.ac.jp/,hitotsubashi university,tokyo,,japan,hit-u
13,17388,52224,university almeria,la canada de san urbano,Almeria,spain,http://www.ual.es,university granada,granada,provincia,spain,ugr
14,17388,56247,university almeria,la canada de san urbano,Almeria,spain,http://www.ual.es,university rovira i virgili,reus,,spain,cat
15,17388,58431,university almeria,la canada de san urbano,Almeria,spain,http://www.ual.es,university carlos iii de madrid,madrid,,spain,uc3m
16,195,23279,aichi university,toyohashi shi,Aichi,japan,http://www.aichi-u.ac.jp,hitotsubashi university,tokyo,,japan,hit-u
17,17417,57575,university celaya,celaya,Guanajuato,mexico,http://www.udec.edu.mx,university autonoma de. baja california,tijuana,,mexico,yahoo
18,22159,25010,singapore university technology design,singapore,,singapore,http://www.sutd.edu.sg/,national university singapore,singapore,singapore,singapore,nus
