a_id,person_id,a_name,a_city,a_prov,a_country,a_web
9,54111,aalborg university,aalborg,,denmark,http://www.aau.dk
9,54203,aalborg university,aalborg,,denmark,http://www.aau.dk
10,29724,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,14261,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,43727,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,58505,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,1239,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,9489,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,50927,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,53416,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,52765,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,44615,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,47260,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,48739,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,58872,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,55992,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,36477,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,58547,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,56106,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,9363,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,54387,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,36067,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,38224,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,54470,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,24930,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,36779,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,6105,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,56107,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,55949,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,31140,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,56765,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,29248,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,33443,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,59274,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,39136,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,17806,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,56621,aalto university,espoo,,finland,http://www.aalto.fi/fi/
10,49629,aalto university,espoo,,finland,http://www.aalto.fi/fi/
